Scientific_Name,Input_File,Sequence_ID,Sequence_Description,Sequence_Type,Sequence_Length,A_Count,T_Count,G_Count,C_Count,N_Count,Other_Ambiguous_Count,Unexpected_Symbol_Count,Valid_ATGC_Length,GC_Count,GC_Percent_Valid_ATGC,GC_Percent_All_Bases,File_Size_Bytes,File_Size_MB,Duplicate_Sequence_ID
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709157.1,"Dictyostelium discoideum AX4 chrUn_00011 genomic scaffold, whole genome shotgun sequence",unplaced,3947,1242,1535,643,527,0,0,0,3947,1170,29.642766658221433,29.642766658221433,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709158.1,"Dictyostelium discoideum AX4 chrUn_00012 genomic scaffold, whole genome shotgun sequence",unplaced,9512,3843,3182,1183,1304,0,0,0,9512,2487,26.14592094196804,26.14592094196804,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709159.1,"Dictyostelium discoideum AX4 chrUn_00013 genomic scaffold, whole genome shotgun sequence",unplaced,3759,1223,1477,510,549,0,0,0,3759,1059,28.172386272944934,28.172386272944934,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709160.1,"Dictyostelium discoideum AX4 chrUn_00014 genomic scaffold, whole genome shotgun sequence",unplaced,8346,3438,2715,1065,1128,0,0,0,8346,2193,26.27606038820992,26.27606038820992,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709161.1,"Dictyostelium discoideum AX4 chrUn_00015 genomic scaffold, whole genome shotgun sequence",unplaced,8929,3128,2971,1542,1288,0,0,0,8929,2830,31.69447866502408,31.69447866502408,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709162.1,"Dictyostelium discoideum AX4 chrUn_00016 genomic scaffold, whole genome shotgun sequence",unplaced,2617,1002,989,318,308,0,0,0,2617,626,23.92051967902178,23.92051967902178,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709164.1,"Dictyostelium discoideum AX4 chrUn_00018 genomic scaffold, whole genome shotgun sequence",unplaced,3280,1125,1068,540,547,0,0,0,3280,1087,33.140243902439025,33.140243902439025,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709148.1,"Dictyostelium discoideum AX4 chrUn_0002 genomic scaffold, whole genome shotgun sequence",unplaced,11086,3841,4044,1693,1508,0,0,0,11086,3201,28.874255818149017,28.874255818149017,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709166.1,"Dictyostelium discoideum AX4 chrUn_00020 genomic scaffold, whole genome shotgun sequence",unplaced,1953,669,667,307,310,0,0,0,1953,617,31.59242191500256,31.59242191500256,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709167.1,"Dictyostelium discoideum AX4 chrUn_00021 genomic scaffold, whole genome shotgun sequence",unplaced,2308,850,731,370,357,0,0,0,2308,727,31.499133448873483,31.499133448873483,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709168.1,"Dictyostelium discoideum AX4 chrUn_00022 genomic scaffold, whole genome shotgun sequence",unplaced,5151,1734,1590,918,909,0,0,0,5151,1827,35.468841001747236,35.468841001747236,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709169.1,"Dictyostelium discoideum AX4 chrUn_00023 genomic scaffold, whole genome shotgun sequence",unplaced,3905,1385,1225,643,652,0,0,0,3905,1295,33.162612035851474,33.162612035851474,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709170.1,"Dictyostelium discoideum AX4 chrUn_00024 genomic scaffold, whole genome shotgun sequence",unplaced,5100,1700,1867,798,735,0,0,0,5100,1533,30.058823529411764,30.058823529411764,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709171.1,"Dictyostelium discoideum AX4 chrUn_00025 genomic scaffold, whole genome shotgun sequence",unplaced,7355,2408,3021,928,998,0,0,0,7355,1926,26.1862678450034,26.1862678450034,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709172.1,"Dictyostelium discoideum AX4 chrUn_00026 genomic scaffold, whole genome shotgun sequence",unplaced,2343,792,776,353,422,0,0,0,2343,775,33.07725138711054,33.07725138711054,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709173.1,"Dictyostelium discoideum AX4 chrUn_00027 genomic scaffold, whole genome shotgun sequence",unplaced,4495,1921,1686,479,409,0,0,0,4495,888,19.75528364849833,19.75528364849833,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709174.1,"Dictyostelium discoideum AX4 chrUn_00028 genomic scaffold, whole genome shotgun sequence",unplaced,5179,1606,1710,955,907,1,0,0,5178,1862,35.95983005021244,35.95288665765592,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709175.1,"Dictyostelium discoideum AX4 chrUn_00029 genomic scaffold, whole genome shotgun sequence",unplaced,5697,2104,2347,662,584,0,0,0,5697,1246,21.871160259785853,21.871160259785853,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709149.1,"Dictyostelium discoideum AX4 chrUn_0003 genomic scaffold, whole genome shotgun sequence",unplaced,2594,1057,811,299,427,0,0,0,2594,726,27.987663839629914,27.987663839629914,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709176.1,"Dictyostelium discoideum AX4 chrUn_00030 genomic scaffold, whole genome shotgun sequence",unplaced,2486,1033,950,237,265,1,0,0,2485,502,20.201207243460765,20.193081255028158,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709177.1,"Dictyostelium discoideum AX4 chrUn_00031 genomic scaffold, whole genome shotgun sequence",unplaced,2149,1176,374,363,236,0,0,0,2149,599,27.873429502093998,27.873429502093998,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709178.1,"Dictyostelium discoideum AX4 chrUn_00032 genomic scaffold, whole genome shotgun sequence",unplaced,2239,960,792,251,236,0,0,0,2239,487,21.750781598928093,21.750781598928093,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709179.1,"Dictyostelium discoideum AX4 chrUn_00033 genomic scaffold, whole genome shotgun sequence",unplaced,3655,1502,932,627,594,0,0,0,3655,1221,33.406292749658,33.406292749658,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709180.1,"Dictyostelium discoideum AX4 chrUn_00034 genomic scaffold, whole genome shotgun sequence",unplaced,4068,1650,1719,397,302,0,0,0,4068,699,17.182890855457227,17.182890855457227,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709181.1,"Dictyostelium discoideum AX4 chrUn_00035 genomic scaffold, whole genome shotgun sequence",unplaced,2525,953,1016,274,282,0,0,0,2525,556,22.019801980198018,22.019801980198018,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709182.1,"Dictyostelium discoideum AX4 chrUn_00036 genomic scaffold, whole genome shotgun sequence",unplaced,39796,14402,14428,5955,5011,0,0,0,39796,10966,27.555533219419036,27.555533219419036,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709150.1,"Dictyostelium discoideum AX4 chrUn_0004 genomic scaffold, whole genome shotgun sequence",unplaced,2216,796,770,334,316,0,0,0,2216,650,29.332129963898918,29.332129963898918,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709151.1,"Dictyostelium discoideum AX4 chrUn_0005 genomic scaffold, whole genome shotgun sequence",unplaced,4957,1891,1496,702,868,0,0,0,4957,1570,31.672382489408918,31.672382489408918,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709152.1,"Dictyostelium discoideum AX4 chrUn_0006 genomic scaffold, whole genome shotgun sequence",unplaced,4050,1643,1588,411,407,1,0,0,4049,818,20.202519140528526,20.19753086419753,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709153.1,"Dictyostelium discoideum AX4 chrUn_0007 genomic scaffold, whole genome shotgun sequence",unplaced,12018,4440,4998,1428,1152,0,0,0,12018,2580,21.467798302546182,21.467798302546182,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709154.1,"Dictyostelium discoideum AX4 chrUn_0008 genomic scaffold, whole genome shotgun sequence",unplaced,2584,943,961,337,343,0,0,0,2584,680,26.31578947368421,26.31578947368421,34564986,34.564986,False
Dictyostelium discoideum,GCA_000004695.1_dicty_2.7_genomic.fna,CH709155.1,"Dictyostelium discoideum AX4 chrUn_0009 genomic scaffold, whole genome shotgun sequence",unplaced,4502,1619,1362,769,752,0,0,0,4502,1521,33.78498445135495,33.78498445135495,34564986,34.564986,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,CM002236.1,"Neurospora crassa OR74A linkage group I, whole genome shotgun sequence",chromosome,9798893,2506759,2508358,2380628,2392573,10575,0,0,9788318,4773201,48.764261643318086,48.71163507959522,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,CM002237.1,"Neurospora crassa OR74A linkage group II, whole genome shotgun sequence",chromosome,4478683,1155911,1159287,1077627,1080258,5600,0,0,4473083,2157885,48.2415595686465,48.18123988681494,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,CM002238.1,"Neurospora crassa OR74A linkage group III, whole genome shotgun sequence",chromosome,5274802,1349722,1348536,1284219,1287825,4500,0,0,5270302,2572044,48.80259233721331,48.76095823122839,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,CM002239.1,"Neurospora crassa OR74A linkage group IV, whole genome shotgun sequence",chromosome,6000761,1545504,1542175,1453363,1455019,4700,0,0,5996061,2908382,48.504876784942645,48.46688611661088,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,CM002240.1,"Neurospora crassa OR74A linkage group V, whole genome shotgun sequence",chromosome,6436246,1644252,1644680,1571632,1571482,4200,0,0,6432046,3143114,48.8664726589331,48.83458463209765,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,CM002241.1,"Neurospora crassa OR74A linkage group VI, whole genome shotgun sequence",chromosome,4218384,1089034,1087835,1018616,1019099,3800,0,0,4214584,2037715,48.34913718649338,48.30558337031432,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,CM002242.1,"Neurospora crassa OR74A linkage group VII, whole genome shotgun sequence",chromosome,4255303,1110508,1111104,1016246,1013145,4300,0,0,4251003,2029391,47.73911004061865,47.6908694868497,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KI440765.1,"Neurospora crassa OR74A unplaced genomic scaffold supercont12.8, whole genome shotgun sequence",unplaced,192308,67123,69425,34970,20390,400,0,0,191908,55360,28.84715592888259,28.787153940553694,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KI440766.1,"Neurospora crassa OR74A unplaced genomic scaffold supercont12.9, whole genome shotgun sequence",unplaced,142473,51777,51013,24009,15474,200,0,0,142273,39483,27.751576195061606,27.712619233117852,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KI440767.1,"Neurospora crassa OR74A unplaced genomic scaffold supercont12.10, whole genome shotgun sequence",unplaced,125404,43510,45769,17531,16794,1800,0,0,123604,34325,27.770136888773827,27.37153519823929,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KI440768.1,"Neurospora crassa OR74A unplaced genomic scaffold supercont12.11, whole genome shotgun sequence",unplaced,31696,11309,11689,4246,4352,100,0,0,31596,8598,27.212305355108242,27.126451287228672,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KI440769.1,"Neurospora crassa OR74A unplaced genomic scaffold supercont12.12, whole genome shotgun sequence",unplaced,19714,6943,7508,2227,3036,0,0,0,19714,5263,26.69676372121335,26.69676372121335,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KI440770.1,"Neurospora crassa OR74A unplaced genomic scaffold supercont12.13, whole genome shotgun sequence",unplaced,13515,4641,5131,1725,2018,0,0,0,13515,3743,27.69515353311136,27.69515353311136,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KI440771.1,"Neurospora crassa OR74A unplaced genomic scaffold supercont12.14, whole genome shotgun sequence",unplaced,11565,4673,3817,1506,1469,100,0,0,11465,2975,25.948539031836024,25.724167747514052,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KI440772.1,"Neurospora crassa OR74A unplaced genomic scaffold supercont12.15, whole genome shotgun sequence",unplaced,9397,3467,3037,1277,1116,500,0,0,8897,2393,26.896706755085983,25.465574119399808,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KI440773.1,"Neurospora crassa OR74A unplaced genomic scaffold supercont12.16, whole genome shotgun sequence",unplaced,8983,3308,3294,1483,898,0,0,0,8983,2381,26.50562172993432,26.50562172993432,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KI440774.1,"Neurospora crassa OR74A unplaced genomic scaffold supercont12.17, whole genome shotgun sequence",unplaced,6701,2582,2170,1233,716,0,0,0,6701,1949,29.08521116251306,29.08521116251306,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KI440775.1,"Neurospora crassa OR74A unplaced genomic scaffold supercont12.18, whole genome shotgun sequence",unplaced,6309,2208,2439,730,932,0,0,0,6309,1662,26.3433190679981,26.3433190679981,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KI440776.1,"Neurospora crassa OR74A unplaced genomic scaffold supercont12.19, whole genome shotgun sequence",unplaced,4755,2023,1518,598,616,0,0,0,4755,1214,25.531019978969507,25.531019978969507,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KI440777.1,"Neurospora crassa OR74A unplaced genomic scaffold supercont12.20, whole genome shotgun sequence",unplaced,1646,375,376,521,374,0,0,0,1646,895,54.37424058323208,54.37424058323208,41618225,41.618225,False
Neurospora crassa,GCA_000182925.2_NC12_genomic.fna,KC683708.1,"Neurospora crassa OR74A mitochondrion, complete genome",mitochondrion,64840,20524,20889,12678,10749,0,0,0,64840,23427,36.130475015422576,36.130475015422576,41618225,41.618225,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000001.1,"Eremothecium coryli CBS 5749 scaffold_0, whole genome shotgun sequence",scaffold,1827054,532674,528254,381180,378709,6237,0,0,1820817,759889,41.73340868412367,41.59094367216294,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000002.1,"Eremothecium coryli CBS 5749 scaffold_1, whole genome shotgun sequence",scaffold,1105492,323845,322133,228339,228636,2539,0,0,1102953,456975,41.431955849433294,41.336798457157535,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000003.1,"Eremothecium coryli CBS 5749 scaffold_2, whole genome shotgun sequence",scaffold,1035239,303124,302927,213798,214725,665,0,0,1034574,428523,41.420236735119964,41.393629876772415,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000004.1,"Eremothecium coryli CBS 5749 scaffold_3, whole genome shotgun sequence",scaffold,1037803,301467,299187,213459,212479,11211,0,0,1026592,425938,41.49048502228734,41.04227873690864,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000005.1,"Eremothecium coryli CBS 5749 scaffold_4, whole genome shotgun sequence",scaffold,590229,172991,173968,122409,120217,644,0,0,589585,242626,41.151996743472104,41.1070957204746,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000006.1,"Eremothecium coryli CBS 5749 scaffold_5, whole genome shotgun sequence",scaffold,544843,158553,159432,113202,113374,282,0,0,544561,226576,41.60709268566791,41.58555767441263,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000007.1,"Eremothecium coryli CBS 5749 scaffold_6, whole genome shotgun sequence",scaffold,521725,150519,149152,108295,107522,6237,0,0,515488,215817,41.86654199515799,41.366045330394364,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000008.1,"Eremothecium coryli CBS 5749 scaffold_7, whole genome shotgun sequence",scaffold,503936,144694,142405,104730,102369,9738,0,0,494198,207099,41.906078130627805,41.09629000508001,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000009.1,"Eremothecium coryli CBS 5749 scaffold_8, whole genome shotgun sequence",scaffold,488308,137829,140233,99401,99529,11316,0,0,476992,198930,41.705101972360126,40.738632174774935,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000010.1,"Eremothecium coryli CBS 5749 scaffold_9, whole genome shotgun sequence",scaffold,415668,121331,121050,86974,86306,7,0,0,415661,173280,41.687817716841366,41.68711567885909,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000011.1,"Eremothecium coryli CBS 5749 scaffold_10, whole genome shotgun sequence",scaffold,262922,75303,74125,54761,53825,4908,0,0,258014,108586,42.08531320005891,41.29970105202303,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000012.1,"Eremothecium coryli CBS 5749 scaffold_11, whole genome shotgun sequence",scaffold,222772,65130,66348,45799,45482,13,0,0,222759,91281,40.97746892381453,40.975077657874415,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000013.1,"Eremothecium coryli CBS 5749 scaffold_12, whole genome shotgun sequence",scaffold,173376,49531,50083,36951,36675,136,0,0,173240,73626,42.49942276610483,42.46608527131783,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000014.1,"Eremothecium coryli CBS 5749 scaffold_13, whole genome shotgun sequence",scaffold,76227,22381,22597,15514,15721,14,0,0,76213,31235,40.98382165772244,40.97629448882942,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000015.1,"Eremothecium coryli CBS 5749 scaffold_14, whole genome shotgun sequence",scaffold,85504,24799,23601,17065,16887,3152,0,0,82352,33952,41.22789974742569,39.708083832335326,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000016.1,"Eremothecium coryli CBS 5749 scaffold_15, whole genome shotgun sequence",scaffold,65914,19990,19856,12809,13254,5,0,0,65909,26063,39.54391661229877,39.540916952392514,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000017.1,"Eremothecium coryli CBS 5749 scaffold_16, whole genome shotgun sequence",scaffold,53536,15698,15981,11119,10733,5,0,0,53531,21852,40.82120640376604,40.81739390316796,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000018.1,"Eremothecium coryli CBS 5749 scaffold_17, whole genome shotgun sequence",scaffold,66776,16376,17198,12392,12454,8356,0,0,58420,24846,42.529955494693596,37.20797891458009,9210291,9.210291,False
Eremothecium coryli,GCA_000710315.1_Eremothecium_coryli_genomic.fna,AZAH01000019.1,"Eremothecium coryli CBS 5749 scaffold_18, whole genome shotgun sequence",scaffold,17610,5092,5327,3739,3452,0,0,0,17610,7191,40.83475298126065,40.83475298126065,9210291,9.210291,False
Yarrowia lipolytica,GCA_001761485.1_ASM176148v1_genomic.fna,CP017553.1,"Yarrowia lipolytica strain CLIB89(W29) chromosome 1A, complete sequence",chromosome,2257857,580229,579316,548406,549906,0,0,0,2257857,1098312,48.64400181233798,48.64400181233798,20805433,20.805433,False
Yarrowia lipolytica,GCA_001761485.1_ASM176148v1_genomic.fna,CP017554.1,"Yarrowia lipolytica strain CLIB89(W29) chromosome 1B, complete sequence",chromosome,3044971,779964,776801,744170,744036,0,0,0,3044971,1488206,48.87422573154227,48.87422573154227,20805433,20.805433,False
Yarrowia lipolytica,GCA_001761485.1_ASM176148v1_genomic.fna,CP017555.1,"Yarrowia lipolytica strain CLIB89(W29) chromosome 1C, complete sequence",chromosome,3366276,864990,861503,819826,819957,0,0,0,3366276,1639783,48.712078272845126,48.712078272845126,20805433,20.805433,False
Yarrowia lipolytica,GCA_001761485.1_ASM176148v1_genomic.fna,CP017556.1,"Yarrowia lipolytica strain CLIB89(W29) chromosome 1D, complete sequence",chromosome,3629463,918964,921230,893139,896130,0,0,0,3629463,1789269,49.29844993598226,49.29844993598226,20805433,20.805433,False
Yarrowia lipolytica,GCA_001761485.1_ASM176148v1_genomic.fna,CP017557.1,"Yarrowia lipolytica strain CLIB89(W29) chromosome 1E, complete sequence",chromosome,4198534,1063414,1063651,1034296,1037173,0,0,0,4198534,2071469,49.337911756817974,49.337911756817974,20805433,20.805433,False
Yarrowia lipolytica,GCA_001761485.1_ASM176148v1_genomic.fna,CP017558.1,"Yarrowia lipolytica strain CLIB89(W29) chromosome 1F, complete sequence",chromosome,4002965,1017271,1017990,986306,981398,0,0,0,4002965,1967704,49.15616299418056,49.15616299418056,20805433,20.805433,False
Yarrowia lipolytica,GCA_001761485.1_ASM176148v1_genomic.fna,CP017559.1,"Yarrowia lipolytica strain CLIB89(W29) mitochondrion, complete genome",mitochondrion,47926,19450,17659,5962,4855,0,0,0,47926,10817,22.570212410799982,22.570212410799982,20805433,20.805433,False
